category_id,category_name
1,Accounting Firms
2,Advertising/Marketing Services
3,Education
4,Engineering
5,Financial - Banking & Investment
6,Financial - Insurance
7,Friends and Family
8,"Food & Beverage (restaurants, cafes)"
9,Government - City/Municipality
10,Government - Federal/Provincial
11,Health - Dental
12,"Health - Hospital, Clinics"
13,Health - Other
14,High Tech
15,Hospitality - Hotel
16,Hospitality - Tourism Services
17,Legal Firms
18,Non-Profit / Charities
19,Real Estate - Construction/Development
20,"Real Estate - Services, Management"
21,Resources
22,Retail - Food & Clothing
23,Retail - Services
24,Run Clubs
25,"Social Clubs, Teams or Association"
26,Transportation
27,Telecomm
28,Other
29,Youth Teams
